Year,Units,Géographie,Type de combustible,Caractéristiques d’écoulement,Value
2015,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Administrations publiques,
2016,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Administrations publiques,
2015,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,1151
2016,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,1003
2017,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,1051
2018,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,1099
2019,Térajoules,Terre-Neuve-et-Labrador,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,1002
2015,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Consommation énergétique finale,36640
2016,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Consommation énergétique finale,36243
2017,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Consommation énergétique finale,37651
2018,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Consommation énergétique finale,37648
2019,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Consommation énergétique finale,37693
2015,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Total industriel,11804
2016,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Total industriel,11756
2017,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Total industriel,12885
2018,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Total industriel,13059
2019,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Total industriel,13140
2015,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Total transport,2
2016,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Total transport,4
2017,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Total transport,4
2018,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Total transport,9
2019,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Total transport,9
2015,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Agriculture,108
2016,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Agriculture,123
2017,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Agriculture,117
2018,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Agriculture,122
2019,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Agriculture,123
2015,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Résidentiel,15714
2016,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Résidentiel,15514
2017,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Résidentiel,15418
2018,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Résidentiel,15349
2019,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Résidentiel,15272
2015,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Administrations publiques,602
2016,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Administrations publiques,600
2017,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Administrations publiques,775
2018,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Administrations publiques,819
2019,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Administrations publiques,820
2015,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Commerces et autres institutions,8410
2016,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Commerces et autres institutions,8245
2017,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Commerces et autres institutions,8452
2018,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Commerces et autres institutions,8290
2019,Térajoules,Terre-Neuve-et-Labrador,Hydroélectricité,Commerces et autres institutions,8329
2015,Térajoules,Terre-Neuve-et-Labrador,Coke,Consommation énergétique finale,
2016,Térajoules,Terre-Neuve-et-Labrador,Coke,Consommation énergétique finale,
2017,Térajoules,Terre-Neuve-et-Labrador,Coke,Consommation énergétique finale,
2018,Térajoules,Terre-Neuve-et-Labrador,Coke,Consommation énergétique finale,0
2019,Térajoules,Terre-Neuve-et-Labrador,Coke,Consommation énergétique finale,0
2015,Térajoules,Terre-Neuve-et-Labrador,Coke,Total industriel,
2016,Térajoules,Terre-Neuve-et-Labrador,Coke,Total industriel,
2017,Térajoules,Terre-Neuve-et-Labrador,Coke,Total industriel,
2018,Térajoules,Terre-Neuve-et-Labrador,Coke,Total industriel,0
2019,Térajoules,Terre-Neuve-et-Labrador,Coke,Total industriel,0
2015,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Consommation énergétique finale,83673
2016,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Consommation énergétique finale,88079
2017,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Consommation énergétique finale,85857
2018,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Consommation énergétique finale,84822
2019,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Consommation énergétique finale,84192
2015,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Total industriel,13672
2016,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Total industriel,15563
2017,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Total industriel,14500
2018,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Total industriel,13640
2019,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Total industriel,13842
2015,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Total transport,52459
2016,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Total transport,53205
2017,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Total transport,53727
2018,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Total transport,53253
2019,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Total transport,52360
2015,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Agriculture,237
2016,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Agriculture,239
2017,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Agriculture,182
2018,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Agriculture,176
2019,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Agriculture,271
2015,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Résidentiel,3574
2016,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Résidentiel,4151
2017,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Résidentiel,5319
2018,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Résidentiel,5063
2019,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Résidentiel,4799
2015,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Administrations publiques,4187
2016,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Administrations publiques,3551
2017,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Administrations publiques,3374
2018,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Administrations publiques,2797
2019,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Administrations publiques,2584
2015,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Commerces et autres institutions,9544
2016,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Commerces et autres institutions,11371
2017,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Commerces et autres institutions,8755
2018,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Commerces et autres institutions,9893
2019,Térajoules,Terre-Neuve-et-Labrador,Total des produits pétroliers raffinés,Commerces et autres institutions,10337
2015,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Consommation énergétique finale,23029
2016,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Consommation énergétique finale,23586
2017,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Consommation énergétique finale,23792
2018,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Consommation énergétique finale,23418
2019,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Consommation énergétique finale,24178
2015,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total industriel,2577
2016,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total industriel,2527
2017,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total industriel,2709
2018,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total industriel,2292
2019,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total industriel,2803
2015,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total transport,10844
2016,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total transport,11657
2017,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total transport,11535
2018,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total transport,11428
2019,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total transport,11428
2015,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Agriculture,2180
2016,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Agriculture,2286
2017,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Agriculture,2280
2018,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Agriculture,2426
2019,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Agriculture,2515
2015,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Résidentiel,3662
2016,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Résidentiel,3673
2017,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Résidentiel,3742
2018,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Résidentiel,3625
2019,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Résidentiel,3788
2015,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Administrations publiques,459
2016,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Administrations publiques,538
2017,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Administrations publiques,494
2018,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Administrations publiques,537
2019,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Administrations publiques,551
2015,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Commerces et autres institutions,3320
2016,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Commerces et autres institutions,2904
2017,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Commerces et autres institutions,3029
2018,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Commerces et autres institutions,3108
2019,Térajoules,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Commerces et autres institutions,3090
2015,Térajoules,Île-du-Prince-Édouard,Total charbon,Consommation énergétique finale,0
2016,Térajoules,Île-du-Prince-Édouard,Total charbon,Consommation énergétique finale,0
2017,Térajoules,Île-du-Prince-Édouard,Total charbon,Consommation énergétique finale,0
2018,Térajoules,Île-du-Prince-Édouard,Total charbon,Consommation énergétique finale,0
2019,Térajoules,Île-du-Prince-Édouard,Total charbon,Consommation énergétique finale,0
2015,Térajoules,Île-du-Prince-Édouard,Gaz naturel,Consommation énergétique finale,
2016,Térajoules,Île-du-Prince-Édouard,Gaz naturel,Consommation énergétique finale,
2017,Térajoules,Île-du-Prince-Édouard,Gaz naturel,Consommation énergétique finale,
2018,Térajoules,Île-du-Prince-Édouard,Gaz naturel,Consommation énergétique finale,772
2019,Térajoules,Île-du-Prince-Édouard,Gaz naturel,Consommation énergétique finale,1074
2015,Térajoules,Île-du-Prince-Édouard,Gaz naturel,Total industriel,
2016,Térajoules,Île-du-Prince-Édouard,Gaz naturel,Total industriel,
2017,Térajoules,Île-du-Prince-Édouard,Gaz naturel,Total industriel,
2018,Térajoules,Île-du-Prince-Édouard,Gaz naturel,Total industriel,772
2019,Térajoules,Île-du-Prince-Édouard,Gaz naturel,Total industriel,1074
2015,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,
2016,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,
2017,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,
2018,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,249
2019,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,306
2015,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,26
2016,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,48
2017,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,45
2018,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,44
2019,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,42
2015,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total transport,
2016,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total transport,
2017,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0
2018,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0
2019,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0
2015,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,7
2016,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,6
2017,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,6
2018,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,8
2019,Térajoules,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,11
