Year,Geography,Fuel type,Demand characteristics,Unit of measure,Value
2016,Newfoundland and Labrador,Hydroelectricity,Agriculture,Terajoules,123.0
2017,Newfoundland and Labrador,Hydroelectricity,Agriculture,Terajoules,117.0
2018,Newfoundland and Labrador,Hydroelectricity,Agriculture,Terajoules,122.0
2019,Newfoundland and Labrador,Hydroelectricity,Agriculture,Terajoules,123.0
2015,Newfoundland and Labrador,Hydroelectricity,Residential,Terajoules,15714.0
2016,Newfoundland and Labrador,Hydroelectricity,Residential,Terajoules,15514.0
2017,Newfoundland and Labrador,Hydroelectricity,Residential,Terajoules,15418.0
2018,Newfoundland and Labrador,Hydroelectricity,Residential,Terajoules,15349.0
2019,Newfoundland and Labrador,Hydroelectricity,Residential,Terajoules,15272.0
2015,Newfoundland and Labrador,Hydroelectricity,Public administration,Terajoules,602.0
2016,Newfoundland and Labrador,Hydroelectricity,Public administration,Terajoules,600.0
2017,Newfoundland and Labrador,Hydroelectricity,Public administration,Terajoules,775.0
2018,Newfoundland and Labrador,Hydroelectricity,Public administration,Terajoules,819.0
2019,Newfoundland and Labrador,Hydroelectricity,Public administration,Terajoules,820.0
2015,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,Terajoules,8410.0
2016,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,Terajoules,8245.0
2017,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,Terajoules,8452.0
2018,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,Terajoules,8290.0
2019,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,Terajoules,8329.0
2015,Newfoundland and Labrador,Coke,"Energy use, final demand",Terajoules,
2016,Newfoundland and Labrador,Coke,"Energy use, final demand",Terajoules,
2017,Newfoundland and Labrador,Coke,"Energy use, final demand",Terajoules,
2018,Newfoundland and Labrador,Coke,"Energy use, final demand",Terajoules,0.0
2019,Newfoundland and Labrador,Coke,"Energy use, final demand",Terajoules,0.0
2015,Newfoundland and Labrador,Coke,Total industrial,Terajoules,
2016,Newfoundland and Labrador,Coke,Total industrial,Terajoules,
2017,Newfoundland and Labrador,Coke,Total industrial,Terajoules,
2018,Newfoundland and Labrador,Coke,Total industrial,Terajoules,0.0
2019,Newfoundland and Labrador,Coke,Total industrial,Terajoules,0.0
2015,Newfoundland and Labrador,Total refined petroleum products,"Energy use, final demand",Terajoules,83673.0
2016,Newfoundland and Labrador,Total refined petroleum products,"Energy use, final demand",Terajoules,88079.0
2017,Newfoundland and Labrador,Total refined petroleum products,"Energy use, final demand",Terajoules,85857.0
2018,Newfoundland and Labrador,Total refined petroleum products,"Energy use, final demand",Terajoules,84822.0
2019,Newfoundland and Labrador,Total refined petroleum products,"Energy use, final demand",Terajoules,84192.0
2015,Newfoundland and Labrador,Total refined petroleum products,Total industrial,Terajoules,13672.0
2016,Newfoundland and Labrador,Total refined petroleum products,Total industrial,Terajoules,15563.0
2017,Newfoundland and Labrador,Total refined petroleum products,Total industrial,Terajoules,14500.0
2018,Newfoundland and Labrador,Total refined petroleum products,Total industrial,Terajoules,13640.0
2019,Newfoundland and Labrador,Total refined petroleum products,Total industrial,Terajoules,13842.0
2015,Newfoundland and Labrador,Total refined petroleum products,Total transportation,Terajoules,52459.0
2016,Newfoundland and Labrador,Total refined petroleum products,Total transportation,Terajoules,53205.0
2017,Newfoundland and Labrador,Total refined petroleum products,Total transportation,Terajoules,53727.0
2018,Newfoundland and Labrador,Total refined petroleum products,Total transportation,Terajoules,53253.0
2019,Newfoundland and Labrador,Total refined petroleum products,Total transportation,Terajoules,52360.0
2015,Newfoundland and Labrador,Total refined petroleum products,Agriculture,Terajoules,237.0
2016,Newfoundland and Labrador,Total refined petroleum products,Agriculture,Terajoules,239.0
2017,Newfoundland and Labrador,Total refined petroleum products,Agriculture,Terajoules,182.0
2018,Newfoundland and Labrador,Total refined petroleum products,Agriculture,Terajoules,176.0
2019,Newfoundland and Labrador,Total refined petroleum products,Agriculture,Terajoules,271.0
2015,Newfoundland and Labrador,Total refined petroleum products,Residential,Terajoules,3574.0
2016,Newfoundland and Labrador,Total refined petroleum products,Residential,Terajoules,4151.0
2017,Newfoundland and Labrador,Total refined petroleum products,Residential,Terajoules,5319.0
2018,Newfoundland and Labrador,Total refined petroleum products,Residential,Terajoules,5063.0
2019,Newfoundland and Labrador,Total refined petroleum products,Residential,Terajoules,4799.0
2015,Newfoundland and Labrador,Total refined petroleum products,Public administration,Terajoules,4187.0
2016,Newfoundland and Labrador,Total refined petroleum products,Public administration,Terajoules,3551.0
2017,Newfoundland and Labrador,Total refined petroleum products,Public administration,Terajoules,3374.0
2018,Newfoundland and Labrador,Total refined petroleum products,Public administration,Terajoules,2797.0
2019,Newfoundland and Labrador,Total refined petroleum products,Public administration,Terajoules,2584.0
2015,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,Terajoules,9544.0
2016,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,Terajoules,11371.0
2017,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,Terajoules,8755.0
2018,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,Terajoules,9893.0
2019,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,Terajoules,10337.0
2015,Prince Edward Island,Total primary and secondary energy,"Energy use, final demand",Terajoules,23029.0
2016,Prince Edward Island,Total primary and secondary energy,"Energy use, final demand",Terajoules,23586.0
2017,Prince Edward Island,Total primary and secondary energy,"Energy use, final demand",Terajoules,23792.0
2018,Prince Edward Island,Total primary and secondary energy,"Energy use, final demand",Terajoules,23418.0
2019,Prince Edward Island,Total primary and secondary energy,"Energy use, final demand",Terajoules,24178.0
2015,Prince Edward Island,Total primary and secondary energy,Total industrial,Terajoules,2577.0
2016,Prince Edward Island,Total primary and secondary energy,Total industrial,Terajoules,2527.0
2017,Prince Edward Island,Total primary and secondary energy,Total industrial,Terajoules,2709.0
2018,Prince Edward Island,Total primary and secondary energy,Total industrial,Terajoules,2292.0
2019,Prince Edward Island,Total primary and secondary energy,Total industrial,Terajoules,2803.0
2015,Prince Edward Island,Total primary and secondary energy,Total transportation,Terajoules,10844.0
2016,Prince Edward Island,Total primary and secondary energy,Total transportation,Terajoules,11657.0
2017,Prince Edward Island,Total primary and secondary energy,Total transportation,Terajoules,11535.0
2018,Prince Edward Island,Total primary and secondary energy,Total transportation,Terajoules,11428.0
2019,Prince Edward Island,Total primary and secondary energy,Total transportation,Terajoules,11428.0
2015,Prince Edward Island,Total primary and secondary energy,Agriculture,Terajoules,2180.0
2016,Prince Edward Island,Total primary and secondary energy,Agriculture,Terajoules,2286.0
2017,Prince Edward Island,Total primary and secondary energy,Agriculture,Terajoules,2280.0
2018,Prince Edward Island,Total primary and secondary energy,Agriculture,Terajoules,2426.0
2019,Prince Edward Island,Total primary and secondary energy,Agriculture,Terajoules,2515.0
2015,Prince Edward Island,Total primary and secondary energy,Residential,Terajoules,3662.0
2016,Prince Edward Island,Total primary and secondary energy,Residential,Terajoules,3673.0
2017,Prince Edward Island,Total primary and secondary energy,Residential,Terajoules,3742.0
2018,Prince Edward Island,Total primary and secondary energy,Residential,Terajoules,3625.0
2019,Prince Edward Island,Total primary and secondary energy,Residential,Terajoules,3788.0
2015,Prince Edward Island,Total primary and secondary energy,Public administration,Terajoules,459.0
2016,Prince Edward Island,Total primary and secondary energy,Public administration,Terajoules,538.0
2017,Prince Edward Island,Total primary and secondary energy,Public administration,Terajoules,494.0
2018,Prince Edward Island,Total primary and secondary energy,Public administration,Terajoules,537.0
2019,Prince Edward Island,Total primary and secondary energy,Public administration,Terajoules,551.0
2015,Prince Edward Island,Total primary and secondary energy,Commercial and other institutional,Terajoules,3320.0
2016,Prince Edward Island,Total primary and secondary energy,Commercial and other institutional,Terajoules,2904.0
2017,Prince Edward Island,Total primary and secondary energy,Commercial and other institutional,Terajoules,3029.0
2018,Prince Edward Island,Total primary and secondary energy,Commercial and other institutional,Terajoules,3108.0
2019,Prince Edward Island,Total primary and secondary energy,Commercial and other institutional,Terajoules,3090.0
2015,Prince Edward Island,Total coal,"Energy use, final demand",Terajoules,0.0
2016,Prince Edward Island,Total coal,"Energy use, final demand",Terajoules,0.0
2017,Prince Edward Island,Total coal,"Energy use, final demand",Terajoules,0.0
2018,Prince Edward Island,Total coal,"Energy use, final demand",Terajoules,0.0
2019,Prince Edward Island,Total coal,"Energy use, final demand",Terajoules,0.0
2015,Prince Edward Island,Natural gas,"Energy use, final demand",Terajoules,
2016,Prince Edward Island,Natural gas,"Energy use, final demand",Terajoules,
2017,Prince Edward Island,Natural gas,"Energy use, final demand",Terajoules,
2018,Prince Edward Island,Natural gas,"Energy use, final demand",Terajoules,772.0
2019,Prince Edward Island,Natural gas,"Energy use, final demand",Terajoules,1074.0
2015,Prince Edward Island,Natural gas,Total industrial,Terajoules,
2016,Prince Edward Island,Natural gas,Total industrial,Terajoules,
2017,Prince Edward Island,Natural gas,Total industrial,Terajoules,
2018,Prince Edward Island,Natural gas,Total industrial,Terajoules,772.0
2019,Prince Edward Island,Natural gas,Total industrial,Terajoules,1074.0
2015,Prince Edward Island,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,
2016,Prince Edward Island,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,
2017,Prince Edward Island,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,
2018,Prince Edward Island,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,249.0
2019,Prince Edward Island,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,306.0
2015,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,26.0
2016,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,48.0
2017,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,45.0
2018,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,44.0
2019,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,42.0
2015,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,
2016,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,
2017,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,0.0
2018,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,0.0
2019,Prince Edward Island,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,0.0
2015,Prince Edward Island,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,7.0
2016,Prince Edward Island,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,6.0
2017,Prince Edward Island,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,6.0
2018,Prince Edward Island,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,8.0
2019,Prince Edward Island,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,11.0
2015,Prince Edward Island,Gas plant natural gas liquids (NGL's),Residential,Terajoules,70.0
2016,Prince Edward Island,Gas plant natural gas liquids (NGL's),Residential,Terajoules,56.0
2017,Prince Edward Island,Gas plant natural gas liquids (NGL's),Residential,Terajoules,60.0
2018,Prince Edward Island,Gas plant natural gas liquids (NGL's),Residential,Terajoules,76.0
2019,Prince Edward Island,Gas plant natural gas liquids (NGL's),Residential,Terajoules,98.0
2015,Prince Edward Island,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2016,Prince Edward Island,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2015,Prince Edward Island,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,109.0
2016,Prince Edward Island,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,85.0
2017,Prince Edward Island,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,94.0
2018,Prince Edward Island,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,119.0
2019,Prince Edward Island,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,153.0
2015,Prince Edward Island,Hydroelectricity,"Energy use, final demand",Terajoules,5701.0
2016,Prince Edward Island,Hydroelectricity,"Energy use, final demand",Terajoules,5544.0
2017,Prince Edward Island,Hydroelectricity,"Energy use, final demand",Terajoules,5601.0
2018,Prince Edward Island,Hydroelectricity,"Energy use, final demand",Terajoules,5746.0
2019,Prince Edward Island,Hydroelectricity,"Energy use, final demand",Terajoules,5998.0
2015,Prince Edward Island,Hydroelectricity,Total industrial,Terajoules,
2016,Prince Edward Island,Hydroelectricity,Total industrial,Terajoules,
2017,Prince Edward Island,Hydroelectricity,Total industrial,Terajoules,819.0
2018,Prince Edward Island,Hydroelectricity,Total industrial,Terajoules,769.0
2019,Prince Edward Island,Hydroelectricity,Total industrial,Terajoules,931.0
2015,Prince Edward Island,Hydroelectricity,Agriculture,Terajoules,1342.0
