Year,Units,data.Geography,data.Offences,data.Age of accused,data.Sex of accused,GeoCode,Value
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.Age not applicable,data.Company,10,63
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,"data.Total, age of accused","data.Total, sex of accused",10,203
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,"data.Total, age of accused",data.Males,10,206
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,"data.Total, age of accused",data.Females,10,180
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,"data.Total, age of accused",data.Company,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,"data.Total, age of accused",data.Sex unknown,10,225
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.18 to 24 years,"data.Total, sex of accused",10,257
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.18 to 24 years,data.Males,10,264
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.18 to 24 years,data.Females,10,209
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.25 to 34 years,"data.Total, sex of accused",10,212
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.25 to 34 years,data.Males,10,214
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.25 to 34 years,data.Females,10,202
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.25 to 34 years,data.Sex unknown,10,5
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.35 to 44 years,"data.Total, sex of accused",10,184
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.35 to 44 years,data.Males,10,188
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.35 to 44 years,data.Females,10,156
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.35 to 44 years,data.Sex unknown,10,134
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.45 to 54 years,"data.Total, sex of accused",10,187
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.45 to 54 years,data.Males,10,193
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.45 to 54 years,data.Females,10,179
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.45 to 54 years,data.Sex unknown,10,85
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.55 years and over,"data.Total, sex of accused",10,188
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.55 years and over,data.Males,10,194
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.55 years and over,data.Females,10,126
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.55 years and over,data.Sex unknown,10,515
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.Other ages,"data.Total, sex of accused",10,206
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.Other ages,data.Males,10,314
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.Other ages,data.Females,10,105
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.Other ages,data.Sex unknown,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.Age not applicable,"data.Total, sex of accused",10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against the person,data.Age not applicable,data.Company,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,"data.Total, age of accused","data.Total, sex of accused",10,136
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,"data.Total, age of accused",data.Males,10,170
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,"data.Total, age of accused",data.Females,10,64
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,"data.Total, age of accused",data.Company,10,63
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,"data.Total, age of accused",data.Sex unknown,10,319
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.18 to 24 years,"data.Total, sex of accused",10,136
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.18 to 24 years,data.Males,10,170
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.18 to 24 years,data.Females,10,50
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.18 to 24 years,data.Sex unknown,10,329
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.25 to 34 years,"data.Total, sex of accused",10,162
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.25 to 34 years,data.Males,10,198
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.25 to 34 years,data.Females,10,106
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.25 to 34 years,data.Sex unknown,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.35 to 44 years,"data.Total, sex of accused",10,134
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.35 to 44 years,data.Males,10,149
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.35 to 44 years,data.Females,10,87
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.35 to 44 years,data.Sex unknown,10,450
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.45 to 54 years,"data.Total, sex of accused",10,145
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.45 to 54 years,data.Males,10,176
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.45 to 54 years,data.Females,10,41
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.45 to 54 years,data.Sex unknown,10,308
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.55 years and over,"data.Total, sex of accused",10,60
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.55 years and over,data.Males,10,71
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.55 years and over,data.Females,10,36
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.55 years and over,data.Sex unknown,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.Other ages,"data.Total, sex of accused",10,57
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.Other ages,data.Males,10,57
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.Other ages,data.Females,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.Other ages,data.Sex unknown,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.Age not applicable,"data.Total, sex of accused",10,63
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Crimes against property,data.Age not applicable,data.Company,10,63
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,"data.Total, age of accused","data.Total, sex of accused",10,123
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,"data.Total, age of accused",data.Males,10,127
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,"data.Total, age of accused",data.Females,10,114
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,"data.Total, age of accused",data.Company,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,"data.Total, age of accused",data.Sex unknown,10,75
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.18 to 24 years,"data.Total, sex of accused",10,117
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.18 to 24 years,data.Males,10,123
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.18 to 24 years,data.Females,10,114
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.18 to 24 years,data.Sex unknown,10,8
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.25 to 34 years,"data.Total, sex of accused",10,119
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.25 to 34 years,data.Males,10,111
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.25 to 34 years,data.Females,10,135
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.25 to 34 years,data.Sex unknown,10,153
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.35 to 44 years,"data.Total, sex of accused",10,113
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.35 to 44 years,data.Males,10,113
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.35 to 44 years,data.Females,10,109
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.35 to 44 years,data.Sex unknown,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.45 to 54 years,"data.Total, sex of accused",10,146
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.45 to 54 years,data.Males,10,157
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.45 to 54 years,data.Females,10,114
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.45 to 54 years,data.Sex unknown,10,2
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.55 years and over,"data.Total, sex of accused",10,192
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.55 years and over,data.Males,10,197
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.55 years and over,data.Females,10,11
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.55 years and over,data.Sex unknown,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.Other ages,"data.Total, sex of accused",10,56
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.Other ages,data.Males,10,56
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.Other ages,data.Females,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.Other ages,data.Sex unknown,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Administration of justice,data.Age not applicable,"data.Total, sex of accused",10,0
