Year,Géographie,data.Type of work,data.National Occupational Classification (NOC),Groupe d'âge,Value
2020,Canada,data.Full-time employees,data.Total employees - all occupations,55 ans et plus,0.84
2015,Canada,data.Full-time employees,data.Management occupations [0],15 ans et plus,0.87
2016,Canada,data.Full-time employees,data.Management occupations [0],15 ans et plus,0.88
2017,Canada,data.Full-time employees,data.Management occupations [0],15 ans et plus,0.89
2018,Canada,data.Full-time employees,data.Management occupations [0],15 ans et plus,0.89
2019,Canada,data.Full-time employees,data.Management occupations [0],15 ans et plus,0.89
2020,Canada,data.Full-time employees,data.Management occupations [0],15 ans et plus,0.9
2015,Canada,data.Full-time employees,data.Management occupations [0],15 à 24 ans,0.94
2016,Canada,data.Full-time employees,data.Management occupations [0],15 à 24 ans,0.96
2017,Canada,data.Full-time employees,data.Management occupations [0],15 à 24 ans,0.85
2018,Canada,data.Full-time employees,data.Management occupations [0],15 à 24 ans,0.83
2019,Canada,data.Full-time employees,data.Management occupations [0],15 à 24 ans,0.85
2020,Canada,data.Full-time employees,data.Management occupations [0],15 à 24 ans,0.86
2015,Canada,data.Full-time employees,data.Management occupations [0],25 à 54 ans,0.88
2016,Canada,data.Full-time employees,data.Management occupations [0],25 à 54 ans,0.89
2017,Canada,data.Full-time employees,data.Management occupations [0],25 à 54 ans,0.89
2018,Canada,data.Full-time employees,data.Management occupations [0],25 à 54 ans,0.9
2019,Canada,data.Full-time employees,data.Management occupations [0],25 à 54 ans,0.9
2020,Canada,data.Full-time employees,data.Management occupations [0],25 à 54 ans,0.91
2015,Canada,data.Full-time employees,data.Management occupations [0],55 ans et plus,0.85
2016,Canada,data.Full-time employees,data.Management occupations [0],55 ans et plus,0.87
2017,Canada,data.Full-time employees,data.Management occupations [0],55 ans et plus,0.86
2018,Canada,data.Full-time employees,data.Management occupations [0],55 ans et plus,0.88
2019,Canada,data.Full-time employees,data.Management occupations [0],55 ans et plus,0.9
2020,Canada,data.Full-time employees,data.Management occupations [0],55 ans et plus,0.9
2015,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],15 ans et plus,0.9
2016,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],15 ans et plus,0.92
2017,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],15 ans et plus,0.92
2018,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],15 ans et plus,0.9
2019,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],15 ans et plus,0.9
2020,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],15 ans et plus,0.9
2015,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,1.07
2016,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,1.03
2017,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,1.0
2018,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.94
2019,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,1.0
2020,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.99
2015,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.91
2016,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.91
2017,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.9
2018,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.89
2019,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.89
2020,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.87
2015,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.9
2016,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.94
2017,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.96
2018,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.91
2019,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.95
2020,Canada,data.Full-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.92
2015,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.88
2016,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.91
2017,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.94
2018,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.94
2019,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.92
2020,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.91
2015,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.97
2016,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,1.0
2017,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.99
2018,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.93
2019,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.93
2020,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.96
2015,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.9
2016,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.92
2017,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.94
2018,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.93
2019,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.91
2020,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.93
2015,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,0.86
2016,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,0.94
2017,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,0.94
2018,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,0.96
2019,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,0.93
2020,Canada,data.Full-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,0.94
2015,Canada,data.Full-time employees,data.Health occupations [3],15 ans et plus,0.93
2016,Canada,data.Full-time employees,data.Health occupations [3],15 ans et plus,0.94
2017,Canada,data.Full-time employees,data.Health occupations [3],15 ans et plus,0.92
2018,Canada,data.Full-time employees,data.Health occupations [3],15 ans et plus,0.94
2019,Canada,data.Full-time employees,data.Health occupations [3],15 ans et plus,0.91
2020,Canada,data.Full-time employees,data.Health occupations [3],15 ans et plus,0.91
2015,Canada,data.Full-time employees,data.Health occupations [3],15 à 24 ans,1.0
2016,Canada,data.Full-time employees,data.Health occupations [3],15 à 24 ans,1.05
2017,Canada,data.Full-time employees,data.Health occupations [3],15 à 24 ans,1.0
2018,Canada,data.Full-time employees,data.Health occupations [3],15 à 24 ans,1.05
2019,Canada,data.Full-time employees,data.Health occupations [3],15 à 24 ans,1.05
2020,Canada,data.Full-time employees,data.Health occupations [3],15 à 24 ans,0.92
2015,Canada,data.Full-time employees,data.Health occupations [3],25 à 54 ans,0.9
2016,Canada,data.Full-time employees,data.Health occupations [3],25 à 54 ans,0.94
2017,Canada,data.Full-time employees,data.Health occupations [3],25 à 54 ans,0.92
2018,Canada,data.Full-time employees,data.Health occupations [3],25 à 54 ans,0.94
2019,Canada,data.Full-time employees,data.Health occupations [3],25 à 54 ans,0.92
2020,Canada,data.Full-time employees,data.Health occupations [3],25 à 54 ans,0.93
2015,Canada,data.Full-time employees,data.Health occupations [3],55 ans et plus,1.13
